wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.56,0.45,1000
0.53,0.52,2000
0.59,0.58,3000
0.53,0.53,4000
0.59,0.61,5000
0.55,0.58,6000
0.62,0.6,7000
0.54,0.55,8000
0.72,0.69,9000
0.73,0.59,10000
0.56,0.69,11000
0.53,0.58,12000
0.58,0.61,13000
0.66,0.63,14000
