wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.54,0.79,5000
0.56,0.74,10000
0.64,0.72,15000
0.69,0.71,20000
0.64,0.79,25000
0.62,0.74,30000
0.65,0.85,35000
0.66,0.79,40000
0.68,0.77,45000
0.65,0.78,50000
0.64,0.75,55000
0.63,0.71,60000
0.64,0.73,65000
0.76,0.8,70000
0.78,0.81,75000
0.73,0.86,80000
0.7,0.81,85000
0.7,0.74,90000
0.66,0.78,95000
0.72,0.83,100000
0.67,0.75,105000
0.72,0.74,110000
0.69,0.75,115000
0.69,0.74,120000
0.71,0.72,125000
