wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.53,0.64,5000
0.64,0.65,10000
0.68,0.64,15000
0.71,0.77,20000
0.7,0.69,25000
0.66,0.69,30000
0.74,0.68,35000
0.73,0.82,40000
0.83,0.75,45000
0.77,0.84,50000
0.72,0.74,55000
0.72,0.83,60000
0.86,0.8,65000
0.75,0.85,70000
0.78,0.79,75000
0.76,0.73,80000
0.81,0.78,85000
0.79,0.74,90000
0.83,0.77,95000
0.82,0.74,100000
0.72,0.79,105000
0.82,0.77,110000
0.74,0.8,115000
