wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.77,0.7,60000
0.71,0.72,120000
0.74,0.83,180000
0.86,0.83,240000
0.83,0.78,300000
0.88,0.82,360000
0.84,0.85,420000
0.81,0.86,480000
0.85,0.8,540000
0.79,0.83,600000
0.79,0.86,660000
0.87,0.75,720000
0.75,0.69,780000
0.85,0.85,840000
0.79,0.85,900000
0.84,0.8,960000
