wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.51,0.6,100
0.49,0.59,200
0.54,0.63,300
0.46,0.63,400
0.55,0.71,500
0.68,0.69,600
0.69,0.61,700
0.69,0.66,800
0.65,0.72,900
0.64,0.66,1000
