wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.73,0.67,60000
0.68,0.72,120000
0.67,0.68,180000
1.0,0.71,240000
0.87,0.74,300000
0.95,0.7,360000
0.61,0.52,420000
0.53,0.76,480000
