wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.62,0.79,1000
0.47,0.76,2000
0.48,0.71,3000
0.58,0.76,4000
0.46,0.75,5000
0.6,0.81,6000
0.57,0.83,7000
0.68,0.78,8000
0.57,0.76,9000
0.69,0.79,10000
0.61,0.76,11000
0.63,0.7,12000
0.61,0.82,13000
0.53,0.81,14000
0.6,0.76,15000
0.63,0.75,16000
0.64,0.64,17000
0.63,0.81,18000
0.6,0.76,19000
0.67,0.7,20000
0.56,0.75,21000
0.62,0.66,22000
0.61,0.8,23000
0.65,0.74,24000
0.62,0.85,25000
0.54,0.78,26000
0.6,0.72,27000
0.54,0.69,28000
0.56,0.71,29000
0.56,0.69,30000
