wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.55,0.56,1000
0.55,0.61,2000
0.57,0.64,3000
0.55,0.52,4000
0.51,0.45,5000
0.48,0.5,6000
0.65,0.49,7000
0.51,0.6,8000
0.58,0.47,9000
0.52,0.69,10000
0.63,0.61,11000
