wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.49,0.49,100
0.58,0.53,200
0.6,0.61,300
0.6,0.58,400
0.69,0.63,500
0.62,0.56,600
0.65,0.62,700
0.63,0.64,800
