wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.53,0.74,5000
0.51,0.74,10000
0.58,0.79,15000
0.72,0.81,20000
0.54,0.7,25000
0.45,0.77,30000
0.53,0.74,35000
0.62,0.73,40000
0.49,0.76,45000
0.48,0.68,50000
0.47,0.65,55000
0.47,0.75,60000
0.52,0.67,65000
0.52,0.74,70000
