wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.71,0.79,60000
0.58,0.73,120000
0.68,0.67,180000
0.86,0.74,240000
0.76,0.81,300000
0.87,0.73,360000
0.76,0.7,420000
0.9,0.67,480000
0.85,0.74,540000
0.81,0.76,600000
0.85,0.7,660000
0.69,0.7,720000
