wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.53,0.8,1000
0.39,0.79,2000
0.51,0.81,3000
0.56,0.78,4000
0.59,0.76,5000
0.52,0.75,6000
0.53,0.81,7000
0.57,0.8,8000
0.45,0.77,9000
0.54,0.84,10000
0.63,0.74,11000
0.48,0.77,12000
0.52,0.81,13000
0.5,0.77,14000
0.63,0.7,15000
0.55,0.72,16000
0.57,0.78,17000
0.6,0.84,18000
0.48,0.83,19000
0.49,0.79,20000
0.52,0.78,21000
0.5,0.82,22000
0.57,0.8,23000
0.55,0.78,24000
0.51,0.83,25000
0.55,0.78,26000
0.55,0.8,27000
0.48,0.77,28000
0.56,0.84,29000
0.58,0.76,30000
0.57,0.73,31000
