wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.66,0.8,5000
0.65,0.83,10000
0.68,0.81,15000
0.64,0.76,20000
0.6,0.76,25000
0.49,0.82,30000
0.54,0.76,35000
0.57,0.75,40000
0.44,0.83,45000
0.51,0.74,50000
0.45,0.69,55000
0.49,0.7,60000
0.5,0.7,65000
