wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.48,0.56,1000
0.46,0.66,2000
0.59,0.64,3000
0.37,0.63,4000
0.46,0.65,5000
0.39,0.58,6000
0.53,0.6,7000
