wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.5,0.45,5000
0.53,0.6,10000
0.56,0.56,15000
0.64,0.66,20000
0.65,0.75,25000
0.65,0.64,30000
0.61,0.67,35000
0.63,0.7,40000
0.67,0.68,45000
0.67,0.65,50000
0.8,0.69,55000
0.71,0.74,60000
0.69,0.68,65000
0.75,0.71,70000
0.72,0.71,75000
0.66,0.77,80000
0.78,0.67,85000
0.67,0.8,90000
0.65,0.69,95000
0.7,0.78,100000
0.69,0.74,105000
