wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.71,0.73,60000
0.76,0.77,120000
0.77,0.78,180000
0.79,0.81,240000
0.77,0.82,300000
0.78,0.83,360000
0.74,0.78,420000
0.79,0.84,480000
0.89,0.86,540000
0.84,0.84,600000
0.88,0.81,660000
0.8,0.82,720000
0.79,0.79,780000
0.84,0.89,840000
0.84,0.91,900000
0.78,0.78,960000
0.82,0.83,1020000
0.81,0.87,1080000
0.8,0.85,1140000
