wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.49,0.47,1000
0.52,0.54,2000
0.55,0.57,3000
0.54,0.51,4000
0.52,0.66,5000
0.51,0.68,6000
0.61,0.53,7000
0.64,0.67,8000
0.63,0.49,9000
0.64,0.47,10000
0.58,0.54,11000
0.61,0.62,12000
