wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.49,0.81,1000
0.44,0.87,2000
0.47,0.84,3000
0.48,0.76,4000
0.48,0.77,5000
0.49,0.79,6000
0.52,0.84,7000
0.55,0.76,8000
0.64,0.8,9000
0.56,0.82,10000
0.53,0.8,11000
0.56,0.82,12000
0.58,0.77,13000
0.57,0.74,14000
0.49,0.79,15000
0.52,0.79,16000
0.52,0.75,17000
0.67,0.78,18000
0.59,0.8,19000
0.54,0.83,20000
0.62,0.8,21000
0.59,0.75,22000
0.66,0.81,23000
0.58,0.84,24000
0.62,0.78,25000
0.6,0.79,26000
0.64,0.84,27000
0.64,0.76,28000
0.54,0.86,29000
0.62,0.74,30000
0.65,0.72,31000
0.62,0.84,32000
0.52,0.76,33000
0.57,0.85,34000
0.57,0.83,35000
0.64,0.8,36000
0.62,0.81,37000
0.6,0.86,38000
