wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.6,0.78,5000
0.55,0.77,10000
0.57,0.81,15000
0.65,0.74,20000
0.6,0.76,25000
0.6,0.74,30000
0.6,0.73,35000
0.61,0.63,40000
0.64,0.64,45000
0.73,0.65,50000
0.79,0.72,55000
0.73,0.7,60000
0.55,0.64,65000
0.56,0.71,70000
0.6,0.71,75000
0.57,0.75,80000
0.8,0.65,85000
0.73,0.73,90000
0.6,0.76,95000
0.54,0.64,100000
0.52,0.74,105000
0.62,0.65,110000
0.67,0.73,115000
0.82,0.69,120000
0.77,0.72,125000
0.79,0.64,130000
0.68,0.7,135000
0.76,0.73,140000
0.73,0.73,145000
0.59,0.76,150000
0.51,0.72,155000
0.62,0.68,160000
0.67,0.71,165000
0.7,0.62,170000
