wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.59,0.56,5000
0.59,0.61,10000
0.75,0.65,15000
0.71,0.63,20000
0.59,0.61,25000
0.65,0.71,30000
0.75,0.71,35000
0.76,0.79,40000
0.82,0.74,45000
0.74,0.69,50000
0.78,0.8,55000
0.74,0.73,60000
0.8,0.86,65000
0.8,0.81,70000
0.85,0.81,75000
0.79,0.81,80000
0.82,0.83,85000
0.69,0.81,90000
0.77,0.82,95000
0.74,0.81,100000
0.81,0.78,105000
0.8,0.83,110000
0.71,0.86,115000
0.8,0.75,120000
0.77,0.78,125000
