wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.56,0.71,60000
0.6,0.64,120000
0.67,0.58,180000
0.77,0.69,240000
0.63,0.63,300000
0.58,0.61,360000
0.67,0.61,420000
0.59,0.6,480000
