wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.59,0.79,5000
0.49,0.74,10000
0.44,0.81,15000
0.52,0.69,20000
0.52,0.76,25000
0.52,0.72,30000
0.61,0.72,35000
0.64,0.74,40000
0.66,0.71,45000
0.56,0.74,50000
0.59,0.82,55000
0.64,0.74,60000
0.74,0.67,65000
0.62,0.78,70000
0.7,0.75,75000
0.81,0.7,80000
0.74,0.76,85000
0.74,0.65,90000
0.82,0.78,95000
0.86,0.79,100000
0.79,0.63,105000
0.71,0.76,110000
0.7,0.69,115000
0.46,0.75,120000
0.61,0.75,125000
0.53,0.68,130000
0.67,0.69,135000
0.61,0.76,140000
0.64,0.69,145000
0.58,0.63,150000
