wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.77,0.82,60000
0.79,0.75,120000
0.74,0.71,180000
0.78,0.73,240000
0.73,0.79,300000
0.76,0.73,360000
0.71,0.72,420000
0.75,0.73,480000
0.78,0.68,540000
0.72,0.77,600000
0.69,0.77,660000
0.73,0.79,720000
