wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.41,0.77,5000
0.5,0.8,10000
0.48,0.78,15000
0.6,0.73,20000
0.57,0.76,25000
0.58,0.74,30000
0.66,0.67,35000
0.55,0.78,40000
0.56,0.65,45000
0.64,0.74,50000
0.58,0.77,55000
0.66,0.74,60000
0.69,0.75,65000
0.69,0.84,70000
0.61,0.7,75000
0.64,0.77,80000
0.7,0.76,85000
0.7,0.78,90000
0.73,0.79,95000
0.71,0.77,100000
0.75,0.77,105000
0.73,0.74,110000
0.82,0.76,115000
0.65,0.71,120000
0.71,0.71,125000
0.64,0.71,130000
0.66,0.79,135000
0.64,0.74,140000
0.58,0.75,145000
0.63,0.68,150000
0.6,0.8,155000
0.68,0.72,160000
0.64,0.66,165000
