wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.11,0.53,60000
0.63,0.52,120000
0.77,0.68,180000
0.7,0.59,240000
0.57,0.68,300000
0.71,0.71,360000
0.82,0.65,420000
0.77,0.74,480000
0.49,0.61,540000
0.5,0.62,600000
0.55,0.54,660000
