pourcentage_wins,n_it
0.5,0
0.59,5000
0.61,10000
0.63,15000
0.65,20000
0.7,25000
0.72,30000
0.72,35000
0.68,40000
0.77,45000
0.74,50000
0.79,55000
0.77,60000
0.85,65000
0.85,70000
0.83,75000
0.74,80000
0.84,85000
0.9,90000
0.79,95000
0.82,100000
0.8,105000
0.85,110000
0.82,115000
0.87,120000
0.89,125000
0.8,130000
0.78,135000
0.82,140000
