wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.46,0.51,5000
0.56,0.47,10000
0.53,0.49,15000
0.55,0.57,20000
0.61,0.58,25000
0.51,0.57,30000
0.7,0.57,35000
0.63,0.69,40000
0.61,0.6,45000
0.65,0.67,50000
0.65,0.63,55000
