wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.43,0.57,5000
0.51,0.53,10000
0.49,0.49,15000
0.39,0.42,20000
0.42,0.57,25000
0.54,0.51,30000
0.69,0.52,35000
0.66,0.5,40000
0.66,0.6,45000
0.63,0.62,50000
0.59,0.64,55000
